,date,Us,Eu,Ch,Kr,Tw
69,2019-03-28 15:20:01,123.948,176.047,187.49599999999998,268.508,262.097
70,2019-03-28 15:40:01,123.61,175.65200000000002,186.424,267.67,262.068
71,2019-03-28 16:00:01,123.255,175.361,186.11599999999999,265.825,262.127
72,2019-03-28 16:20:01,122.725,175.46599999999998,185.75099999999998,263.83799999999997,262.28
73,2019-03-28 16:40:01,122.134,175.829,185.291,261.822,262.28
74,2019-03-28 17:00:01,121.574,176.574,184.56599999999997,259.755,261.569
75,2019-03-28 17:20:01,120.976,177.28099999999998,183.727,257.64,259.093
76,2019-03-28 17:40:01,120.37,177.544,183.02200000000002,255.49900000000002,259.093
77,2019-03-28 18:00:01,119.741,177.702,182.377,253.247,258.306
78,2019-03-28 18:20:02,119.324,177.737,181.842,250.99400000000003,257.558
79,2019-03-28 18:40:01,119.066,176.997,181.351,248.71900000000002,257.558
80,2019-03-28 19:00:02,119.005,176.41099999999997,180.92700000000002,246.50599999999997,257.314
81,2019-03-28 19:20:01,118.78200000000001,175.953,180.535,244.27200000000002,257.115
82,2019-03-28 19:40:01,118.57700000000001,175.80599999999998,180.262,242.078,257.301
83,2019-03-28 20:00:01,118.41799999999999,175.87,179.92700000000002,239.822,257.569
84,2019-03-28 20:20:01,118.454,176.50400000000002,179.59099999999998,237.727,257.569
85,2019-03-28 20:40:01,118.456,177.22,179.183,235.71,257.47900000000004
86,2019-03-28 21:00:01,118.51700000000001,177.49200000000002,178.805,233.71200000000002,257.539
87,2019-03-28 21:20:01,118.47399999999999,176.53900000000002,178.40900000000002,231.77,257.468
88,2019-03-28 21:40:01,118.48299999999999,176.53900000000002,178.007,229.84400000000002,257.311
89,2019-03-28 22:00:01,118.514,176.04,177.618,228.183,257.154
90,2019-03-28 22:20:02,118.654,175.179,177.25799999999998,226.477,256.867
91,2019-03-28 22:40:01,118.75299999999999,175.179,176.958,225.067,256.709
92,2019-03-28 23:00:01,118.742,174.645,176.72299999999998,223.549,256.658
93,2019-03-28 23:20:01,118.572,174.05599999999998,176.947,222.41400000000002,256.608
94,2019-03-28 23:40:02,118.363,174.05599999999998,177.196,221.396,256.665
95,2019-03-29 00:00:01,118.07,173.928,177.418,220.476,256.658
96,2019-03-29 00:20:01,117.699,173.968,178.514,219.247,256.54
