,date,Usd,Eur,Cny,Krw,Brl
0,2019-03-27 14:40:02,1.0,0.8856611459999999,6.7149056771,1134.4522185812,3.9043168669
1,2019-03-27 15:00:01,1.0,0.8856611459999999,6.7149056771,1134.4522185812,3.9043168669
2,2019-03-27 15:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
3,2019-03-27 15:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
4,2019-03-27 16:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
5,2019-03-27 16:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
6,2019-03-27 16:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
7,2019-03-27 17:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
8,2019-03-27 17:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
9,2019-03-27 17:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
10,2019-03-27 18:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
11,2019-03-27 18:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
12,2019-03-27 18:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
13,2019-03-27 19:00:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
14,2019-03-27 19:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
15,2019-03-27 19:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
16,2019-03-27 20:00:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
17,2019-03-27 20:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
18,2019-03-27 20:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
19,2019-03-27 21:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
20,2019-03-27 21:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
21,2019-03-27 21:40:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
22,2019-03-27 22:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
23,2019-03-27 22:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
24,2019-03-27 22:40:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
25,2019-03-27 23:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
26,2019-03-27 23:20:05,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
27,2019-03-27 23:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
28,2019-03-28 00:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
29,2019-03-28 00:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
30,2019-03-28 00:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
31,2019-03-28 01:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
32,2019-03-28 01:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
33,2019-03-28 01:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
34,2019-03-28 02:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
35,2019-03-28 02:20:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
36,2019-03-28 02:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
37,2019-03-28 03:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
38,2019-03-28 03:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
39,2019-03-28 03:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
40,2019-03-28 04:00:03,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
41,2019-03-28 04:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
42,2019-03-28 04:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
43,2019-03-28 05:00:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
44,2019-03-28 05:20:01,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
45,2019-03-28 05:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
46,2019-03-28 06:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
47,2019-03-28 06:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
48,2019-03-28 06:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
49,2019-03-28 07:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
50,2019-03-28 07:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
51,2019-03-28 07:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
52,2019-03-28 08:00:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
53,2019-03-28 08:20:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
54,2019-03-28 08:40:02,1.0,0.8880206020999999,6.7248912175,1137.5543912619,3.9043168669
